分类: 📺央视频道, 名称: CCTV-1, 有效: 6, IPv4: 229, IPv6: 0, 最小延迟: 326 ms, 最高速率: 7.92 M/s, 平均速率: 2.92 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 6, IPv4: 172, IPv6: 0, 最小延迟: 347 ms, 最高速率: 3.60 M/s, 平均速率: 1.67 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 5, IPv4: 184, IPv6: 0, 最小延迟: 265 ms, 最高速率: 3.35 M/s, 平均速率: 1.39 M/s, 最高分辨率: 2774x1442
分类: 📺央视频道, 名称: CCTV-4, 有效: 5, IPv4: 199, IPv6: 0, 最小延迟: 352 ms, 最高速率: 4.45 M/s, 平均速率: 2.21 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 5, IPv4: 197, IPv6: 0, 最小延迟: 528 ms, 最高速率: 4.70 M/s, 平均速率: 1.80 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 5, IPv4: 142, IPv6: 0, 最小延迟: 250 ms, 最高速率: 1.51 M/s, 平均速率: 0.90 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 5, IPv4: 185, IPv6: 0, 最小延迟: 499 ms, 最高速率: 4.77 M/s, 平均速率: 1.56 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 183, IPv6: 0, 最小延迟: 311 ms, 最高速率: 2.98 M/s, 平均速率: 1.60 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 6, IPv4: 181, IPv6: 0, 最小延迟: 202 ms, 最高速率: 10.87 M/s, 平均速率: 3.19 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 6, IPv4: 182, IPv6: 0, 最小延迟: 495 ms, 最高速率: 5.67 M/s, 平均速率: 1.89 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 6, IPv4: 187, IPv6: 0, 最小延迟: 240 ms, 最高速率: 3.58 M/s, 平均速率: 1.65 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 6, IPv4: 163, IPv6: 0, 最小延迟: 444 ms, 最高速率: 3.81 M/s, 平均速率: 1.72 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 有效: 5, IPv4: 174, IPv6: 0, 最小延迟: 482 ms, 最高速率: 9.42 M/s, 平均速率: 2.65 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 5, IPv4: 174, IPv6: 0, 最小延迟: 334 ms, 最高速率: 2.79 M/s, 平均速率: 1.14 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 6, IPv4: 178, IPv6: 0, 最小延迟: 349 ms, 最高速率: 9.20 M/s, 平均速率: 3.72 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-15, 有效: 6, IPv4: 172, IPv6: 0, 最小延迟: 240 ms, 最高速率: 8.17 M/s, 平均速率: 2.06 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-16, 有效: 6, IPv4: 129, IPv6: 0, 最小延迟: 463 ms, 最高速率: 9.79 M/s, 平均速率: 3.83 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-17, 有效: 6, IPv4: 143, IPv6: 0, 最小延迟: 447 ms, 最高速率: 3.94 M/s, 平均速率: 1.60 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-1, 有效: 6, IPv4: 99, IPv6: 0, 最小延迟: 5 ms, 最高速率: 54.61 M/s, 平均速率: 0.77 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-2, 有效: 0, IPv4: 53, IPv6: 0, 最小延迟: 4 ms, 最高速率: 59.28 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576
分类: 📺央视频道, 名称: CETV-3, 有效: 0, IPv4: 15, IPv6: 0, 最小延迟: 394 ms, 最高速率: 6.75 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576
分类: 📡卫视频道, 名称: 凤凰卫视, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 129 ms, 最高速率: 3.03 M/s, 平均速率: 0.00 M/s, 最高分辨率: 840x480
